                                                                                                             
{'loss': '0.1133', 'grad_norm': '0.2106', 'learning_rate': '0.0001473', 'epoch': '0.7914'}
{'loss': '0.1181', 'grad_norm': '0.3897', 'learning_rate': '0.0001469', 'epoch': '0.7965'}
{'loss': '0.113', 'grad_norm': '0.5162', 'learning_rate': '0.0001466', 'epoch': '0.8016'}
{'loss': '0.1024', 'grad_norm': '0.3301', 'learning_rate': '0.0001462', 'epoch': '0.8068'}
{'loss': '0.129', 'grad_norm': '0.1777', 'learning_rate': '0.0001459', 'epoch': '0.8119'}
{'loss': '0.1339', 'grad_norm': '0.1953', 'learning_rate': '0.0001456', 'epoch': '0.8171'}
{'loss': '0.1204', 'grad_norm': '0.164', 'learning_rate': '0.0001452', 'epoch': '0.8222'}
{'loss': '0.1151', 'grad_norm': '0.5618', 'learning_rate': '0.0001449', 'epoch': '0.8273'}
{'loss': '0.1061', 'grad_norm': '0.408', 'learning_rate': '0.0001445', 'epoch': '0.8325'}
{'loss': '0.1081', 'grad_norm': '0.1454', 'learning_rate': '0.0001442', 'epoch': '0.8376'}
{'loss': '0.1055', 'grad_norm': '0.2247', 'learning_rate': '0.0001439', 'epoch': '0.8428'}
{'loss': '0.1046', 'grad_norm': '0.1349', 'learning_rate': '0.0001435', 'epoch': '0.8479'}
{'loss': '0.112', 'grad_norm': '0.1934', 'learning_rate': '0.0001432', 'epoch': '0.853'}
{'loss': '0.09606', 'grad_norm': '0.3709', 'learning_rate': '0.0001428', 'epoch': '0.8582'}
{'loss': '0.1194', 'grad_norm': '0.384', 'learning_rate': '0.0001425', 'epoch': '0.8633'}
{'loss': '0.09891', 'grad_norm': '0.2556', 'learning_rate': '0.0001421', 'epoch': '0.8684'}
{'loss': '0.1102', 'grad_norm': '0.2221', 'learning_rate': '0.0001418', 'epoch': '0.8736'}
{'loss': '0.1093', 'grad_norm': '0.3242', 'learning_rate': '0.0001415', 'epoch': '0.8787'}
{'loss': '0.1191', 'grad_norm': '0.253', 'learning_rate': '0.0001411', 'epoch': '0.8839'}
{'loss': '0.1002', 'grad_norm': '0.2219', 'learning_rate': '0.0001408', 'epoch': '0.889'}
{'loss': '0.1029', 'grad_norm': '0.2307', 'learning_rate': '0.0001404', 'epoch': '0.8941'}
{'loss': '0.1007', 'grad_norm': '0.1666', 'learning_rate': '0.0001401', 'epoch': '0.8993'}
{'loss': '0.09883', 'grad_norm': '0.1158', 'learning_rate': '0.0001397', 'epoch': '0.9044'}
{'loss': '0.1043', 'grad_norm': '0.1711', 'learning_rate': '0.0001394', 'epoch': '0.9096'}
{'loss': '0.1119', 'grad_norm': '0.237', 'learning_rate': '0.0001391', 'epoch': '0.9147'}
{'loss': '0.1186', 'grad_norm': '0.3301', 'learning_rate': '0.0001387', 'epoch': '0.9198'}
{'loss': '0.1108', 'grad_norm': '0.1228', 'learning_rate': '0.0001384', 'epoch': '0.925'}
{'loss': '0.0959', 'grad_norm': '0.3485', 'learning_rate': '0.000138', 'epoch': '0.9301'}
{'loss': '0.1183', 'grad_norm': '0.1562', 'learning_rate': '0.0001377', 'epoch': '0.9353'}
{'loss': '0.1076', 'grad_norm': '0.2708', 'learning_rate': '0.0001373', 'epoch': '0.9404'}
{'loss': '0.1162', 'grad_norm': '0.1889', 'learning_rate': '0.000137', 'epoch': '0.9455'}
{'loss': '0.09988', 'grad_norm': '0.2348', 'learning_rate': '0.0001367', 'epoch': '0.9507'}
{'loss': '0.1289', 'grad_norm': '0.23', 'learning_rate': '0.0001363', 'epoch': '0.9558'}
{'loss': '0.135', 'grad_norm': '0.2366', 'learning_rate': '0.000136', 'epoch': '0.9609'}
{'loss': '0.1155', 'grad_norm': '0.2017', 'learning_rate': '0.0001356', 'epoch': '0.9661'}
{'loss': '0.1064', 'grad_norm': '0.1967', 'learning_rate': '0.0001353', 'epoch': '0.9712'}
{'loss': '0.1045', 'grad_norm': '0.1379', 'learning_rate': '0.0001349', 'epoch': '0.9764'}
{'loss': '0.1072', 'grad_norm': '0.3177', 'learning_rate': '0.0001346', 'epoch': '0.9815'}
{'loss': '0.1092', 'grad_norm': '0.2168', 'learning_rate': '0.0001343', 'epoch': '0.9866'}
{'loss': '0.1182', 'grad_norm': '0.2004', 'learning_rate': '0.0001339', 'epoch': '0.9918'}
{'loss': '0.09777', 'grad_norm': '0.2693', 'learning_rate': '0.0001336', 'epoch': '0.9969'}
                                                                                                                                                                         
{'eval_loss': '0.1073', 'eval_runtime': '5.924', 'eval_samples_per_second': '149.9', 'eval_steps_per_second': '18.74', 'epoch': '1'}
{'loss': '0.1069', 'grad_norm': '0.1352', 'learning_rate': '0.0001332', 'epoch': '1.002'}
{'loss': '0.1042', 'grad_norm': '0.1478', 'learning_rate': '0.0001329', 'epoch': '1.007'}
{'loss': '0.1057', 'grad_norm': '0.1292', 'learning_rate': '0.0001325', 'epoch': '1.012'}
{'loss': '0.1067', 'grad_norm': '0.2547', 'learning_rate': '0.0001322', 'epoch': '1.017'}
{'loss': '0.1122', 'grad_norm': '0.227', 'learning_rate': '0.0001319', 'epoch': '1.023'}
{'loss': '0.1165', 'grad_norm': '0.166', 'learning_rate': '0.0001315', 'epoch': '1.028'}
{'loss': '0.1032', 'grad_norm': '0.1394', 'learning_rate': '0.0001312', 'epoch': '1.033'}
{'loss': '0.09977', 'grad_norm': '0.1696', 'learning_rate': '0.0001308', 'epoch': '1.038'}
{'loss': '0.1194', 'grad_norm': '0.2276', 'learning_rate': '0.0001305', 'epoch': '1.043'}
{'loss': '0.1116', 'grad_norm': '0.1432', 'learning_rate': '0.0001301', 'epoch': '1.048'}
{'loss': '0.1115', 'grad_norm': '0.1207', 'learning_rate': '0.0001298', 'epoch': '1.053'}
{'loss': '0.1053', 'grad_norm': '0.1461', 'learning_rate': '0.0001295', 'epoch': '1.059'}
{'loss': '0.1135', 'grad_norm': '0.1012', 'learning_rate': '0.0001291', 'epoch': '1.064'}
{'loss': '0.1089', 'grad_norm': '0.07031', 'learning_rate': '0.0001288', 'epoch': '1.069'}
{'loss': '0.1252', 'grad_norm': '0.1129', 'learning_rate': '0.0001284', 'epoch': '1.074'}
{'loss': '0.1171', 'grad_norm': '0.2807', 'learning_rate': '0.0001281', 'epoch': '1.079'}
{'loss': '0.1221', 'grad_norm': '0.2484', 'learning_rate': '0.0001277', 'epoch': '1.084'}
{'loss': '0.1317', 'grad_norm': '0.2426', 'learning_rate': '0.0001274', 'epoch': '1.089'}
{'loss': '0.1299', 'grad_norm': '0.1225', 'learning_rate': '0.0001271', 'epoch': '1.095'}
{'loss': '0.115', 'grad_norm': '0.3073', 'learning_rate': '0.0001267', 'epoch': '1.1'}
{'loss': '0.13', 'grad_norm': '0.3465', 'learning_rate': '0.0001264', 'epoch': '1.105'}
{'loss': '0.118', 'grad_norm': '0.1146', 'learning_rate': '0.000126', 'epoch': '1.11'}
{'loss': '0.1019', 'grad_norm': '0.2383', 'learning_rate': '0.0001257', 'epoch': '1.115'}
{'loss': '0.1261', 'grad_norm': '0.1986', 'learning_rate': '0.0001254', 'epoch': '1.12'}
{'loss': '0.111', 'grad_norm': '0.2464', 'learning_rate': '0.000125', 'epoch': '1.125'}
{'loss': '0.09575', 'grad_norm': '0.387', 'learning_rate': '0.0001247', 'epoch': '1.131'}
{'loss': '0.1176', 'grad_norm': '0.1159', 'learning_rate': '0.0001243', 'epoch': '1.136'}
